title,url,rating,price,search_url
The Drop Women's Nina Lace-Up Fashion Sneaker,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfYXRmOjIwMDAxNzQ2Nzk0Nzk4MTo6MDo6&url=%2FDrop-Nina-Lace-up-Fashion-Sneaker%2Fdp%2FB07SXSTH1J%2Fref%3Dsr_1_1_ffob_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.2 out of 5 stars,$32.93,https://www.amazon.com/s?k=sneakers&page=1
Karl Lagerfeld Paris women's Cate Pins Sneaker,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfYXRmOjMwMDE1NTQ0MTc3ODIwMjo6MDo6&url=%2FKarl-Lagerfeld-Paris-Womens-Sneaker%2Fdp%2FB0BYBF33MF%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.0 out of 5 stars,$99.36,https://www.amazon.com/s?k=sneakers&page=1
Reebok Women's Club C Double Sneaker,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfYXRmOjMwMDIyNTQxMTY0NjUwMjo6MDo6&url=%2FReebok-Womens-Double-Sneaker-Chalk%2Fdp%2FB08XR1BLMQ%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.6 out of 5 stars,$84.95,https://www.amazon.com/s?k=sneakers&page=1
Karl Lagerfeld Paris women's Cate Shoes – Sneakers Iconic Klp Pins,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfYXRmOjMwMDI0ODIwNTg4NTgwMjo6MDo6&url=%2FKarl-Lagerfeld-Paris-Womens-Sneaker%2Fdp%2FB091VBFPK4%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.6 out of 5 stars,$139.00,https://www.amazon.com/s?k=sneakers&page=1
Reebok unisex-adult Court Advance Sneaker,/Reebok-Unisex-Advance-Sneaker-Vector/dp/B0BXFRGN13/ref=sr_1_5?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-5,4.5 out of 5 stars,$28.67,https://www.amazon.com/s?k=sneakers&page=1
Madden Girl women's Navida Sneaker,/Madden-Girl-Womens-Navida-Sneaker/dp/B0CCPQKGRT/ref=sr_1_6?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-6,4.2 out of 5 stars,$39.99,https://www.amazon.com/s?k=sneakers&page=1
Skechers Men's Afterburn M. Fit,/Skechers-AFTER-BURN-M-FIT-Lace-Up-Sneaker-Charcoal/dp/B00FZN224Y/ref=sr_1_7?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-7,4.4 out of 5 stars,$56.25,https://www.amazon.com/s?k=sneakers&page=1
Skechers Women's D'Lites Fresh Start Memory Foam Lace-up Sneaker Fashion,/Skechers-Womens-DLites-Lace-up-Sneaker/dp/B014GNJS22/ref=sr_1_8?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-8,4.6 out of 5 stars,$46.97,https://www.amazon.com/s?k=sneakers&page=1
Reebok Unisex-Adult Classic Leather Sneaker,/Reebok-Classic-Leather-Sneaker-Reefresh/dp/B093TSRMG6/ref=sr_1_9?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-9,4.5 out of 5 stars,$79.95,https://www.amazon.com/s?k=sneakers&page=1
Reebok Women's Club C 85 Vintage Shoe,/Reebok-Womens-Sneaker-Chalk-Alabaster/dp/B093WB7PZV/ref=sr_1_10?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-10,4.6 out of 5 stars,$60.00,https://www.amazon.com/s?k=sneakers&page=1
Skechers Women's Bobs B Cute Shoe,/Skechers-BOBS-Womens-Sneaker-White/dp/B07NJPR9P9/ref=sr_1_11?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-11,4.5 out of 5 stars,$34.95,https://www.amazon.com/s?k=sneakers&page=1
Madden Girl Women's Giia Sneaker,/Madden-Girl-Womens-Sneaker-Multi/dp/B0CGY43VM6/ref=sr_1_12?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-12,4.1 out of 5 stars,$49.00,https://www.amazon.com/s?k=sneakers&page=1
ASICS Women's Gel-Contend 8 Running Shoes,/ASICS-Gel-Contend-Running-Piedmont-Frosted/dp/B09WC37VWS/ref=sr_1_13?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-13,4.5 out of 5 stars,$54.95,https://www.amazon.com/s?k=sneakers&page=1
Reebok Women's Club C 85 Vintage Shoe,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfbXRmOjMwMDMwMDU0ODc3NTAwMjo6MDo6&url=%2FReebok-Womens-Sneaker-Chalk-Alabaster%2Fdp%2FB093TYSZ6C%2Fref%3Dsr_1_14_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.6 out of 5 stars,$60.00,https://www.amazon.com/s?k=sneakers&page=1
Reebok Women's Club C Extra Sneaker,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfbXRmOjMwMDIyNTQxMTY0NjgwMjo6MDo6&url=%2FReebok-Womens-Extra-Sneaker-Chalk%2Fdp%2FB09Z73K77H%2Fref%3Dsr_1_15_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.6 out of 5 stars,$89.95,https://www.amazon.com/s?k=sneakers&page=1
Under Armour Men's Charged Assert 10,/Under-Armour-Charged-Assert-Running/dp/B09XBW71RQ/ref=sr_1_16?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-16,4.5 out of 5 stars,$56.25,https://www.amazon.com/s?k=sneakers&page=1
New Balance Men's 608 V5 Casual Comfort Cross Trainer,/New-Balance-Casual-Comfort-Trainer/dp/B07B41G96T/ref=sr_1_17?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-17,4.6 out of 5 stars,$69.99,https://www.amazon.com/s?k=sneakers&page=1
Reebok Women's Court Advance Sneaker,/Reebok-Unisex-Court-Advance-Sneaker/dp/B0BXFR5WZR/ref=sr_1_18?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-18,4.4 out of 5 stars,$45.50,https://www.amazon.com/s?k=sneakers&page=1
Skechers Women's Uno- Stand On Air Sneaker,/Skechers-womens-Skecher-Street-Womens/dp/B08HBY4ZJP/ref=sr_1_19?dib=eyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs&dib_tag=se&keywords=sneakers&qid=1722674261&sr=8-19,4.4 out of 5 stars,$53.95,https://www.amazon.com/s?k=sneakers&page=1
Steve Madden Women's Glacer Sneaker,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfbXRmOjMwMDEzNTUyNzkwNjcwMjo6MDo6&url=%2FSteve-Madden-Womens-Glacer-Sneaker%2Fdp%2FB0CJKJJHQS%2Fref%3Dsr_1_20_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-20-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.2 out of 5 stars,$79.95,https://www.amazon.com/s?k=sneakers&page=1
Lugz Women's Clipper Classic Slip-on Fashion Sneaker,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfbXRmOjMwMDMyODA3ODc1MDEwMjo6MDo6&url=%2FLugz-Womens-Clipper-Sneaker-White%2Fdp%2FB07CPJR6NY%2Fref%3Dsr_1_21_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.2 out of 5 stars,$34.99,https://www.amazon.com/s?k=sneakers&page=1
Steve Madden Women's Duo Sneaker,/sspa/click?ie=UTF8&spc=MTo4MzY3Mjg0MDgzMDE1OTc0OjE3MjI2NzQyNjE6c3BfbXRmOjMwMDEzNTUyNzkwNjMwMjo6MDo6&url=%2FSteve-Madden-Womens-Sneaker-White%2Fdp%2FB0CHLKY2FT%2Fref%3Dsr_1_22_sspa%3Fdib%3DeyJ2IjoiMSJ9.upnvAfJjF8rAyzZ3rch6Cp2TnyJzRoB1TsScZdfAQ1JFzlybw-O-RxhI91mea45Bn4PUM2XqnYJmEJL2fHY5Jf61qlcStRqUOtR0Z_0BHm1CqoswLlhRsk0JNJsozTpqoL_3x8ygCGRBSQVGLbqKDgQRF3xn6_MSbR4iGwk4h24exZFeMvze0laPlPz9nRdsYNBjyG2iXvryU1XFLN-NBZZkU9T28hD2Kh8o-1VIkBvKGt1EHiXM7IMl07ml4HHc2KDbdeAT04QtjVIPNIDV5JP97sRtykl7vEjLYfMTOoc.XmlXS0NEzYydwr7fqHVpuYqASFes8py_DWRwz3vRRgs%26dib_tag%3Dse%26keywords%3Dsneakers%26qid%3D1722674261%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,4.5 out of 5 stars,$59.00,https://www.amazon.com/s?k=sneakers&page=1
